title,desc,icon
Strategy,Long term competitive value,fa-crosshairs
Management,Cross functional internal and external teams ,fa-cogs
Transformation,"Systems design, vendor selection and management",fa-connectdevelop
Programming,"Ruby, R, Javascript, HTML, CSS, SQL",fa-code
Research,"Data analysis, qualitative research design and facilitation",fa-bar-chart
Experience Design,"Personas, customer journey maps, information architecture, interface design",fa-user-plus
